Year,Player,GradStatus,School,Conference,Team,Round,PickNumber,Height,Weight,FortyYdSpr,JmpVert,BPress,BrJump,ThreeCone,RunShut,BMI,Player_Type,Position_Type,Position,Drafted,filter_$
2009,Corvey Irvin\IrviCo99,    2.00,Georgia,NFC,CarolinaPanthers,Middle,93,1.905,136.5313034,4.96,62.23,24,246.38,7.44,4.73,37.6220344,defense,defensive_lineman,DT,Yes,1
2009,Captain Munnerlyn\MunnCa99,    1.00,South Carolina,NFC,CarolinaPanthers,Late,216,1.7272,82.55381134,4.41,95.25,19,307.34,7.15,4.2,27.67272134,defense,defensive_back,CB,Yes,1
2009,Sherrod Martin\MartSh99,    2.00,Troy,NFC,CarolinaPanthers,Early,59,1.8542,89.81128926,4.43,91.44,12,312.42,6.6,3.98,26.12268282,defense,defensive_back,CB,Yes,1
2009,Jarron Gilbert\GilbJa99,    2.00,San Jose St.,NFC,ChicagoBears,Middle,68,1.9558,130.6346026,4.81,90.17,28,302.26,7.7,4.56,34.1514655,defense,defensive_lineman,DE,Yes,1
2009,D.J. Moore\MoorDJ99,    1.00,Vanderbilt,NFC,ChicagoBears,Middle,119,1.7526,87.08973504,4.56,100.33,17,299.72,7.01,4.28,28.35315255,defense,defensive_back,CB,Yes,1
2009,Jonathan Luigs\LuigJo20,    2.00,Arkansas,AFC,CincinnatiBengals,Middle,106,1.9304,136.5313034,5.14,78.74,26,251.46,7.69,4.79,36.63849437,offense,offensive_lineman,C,Yes,1
2009,Bernard Scott\ScotBe00,    2.00,Abilene Christian,AFC,CincinnatiBengals,Late,209,1.778,90.718474,4.44,91.44,21,317.5,6.82,4.08,28.69671754,offense,backs_receivers,RB,Yes,1
2009,Michael Johnson\JohnMi98,    2.00,Georgia Tech,AFC,CincinnatiBengals,Middle,70,2.0066,120.6555704,4.61,97.79,28,325.12,7.42,4.37,29.96579205,defense,defensive_lineman,DE,Yes,1
2009,Morgan Trent\TrenMo99,    2.00,Michigan,AFC,CincinnatiBengals,Late,179,1.8542,87.54332741,4.5,96.52,23,322.58,7.05,4.01,25.46301912,defense,defensive_back,CB,Yes,1
2009,David Veikune\VeikDa99,    2.00,Hawaii,AFC,ClevelandBrowns,Early,52,1.8796,116.5732391,4.75,83.82,35,279.4,7.2,4.46,32.99650876,defense,defensive_lineman,DE,Yes,1
